Categoría,Banco,Comercio/Promoción,Cantidad de descuento / beneficio,Día de promoción,Vigencia,Detalle,URL,Montos / topes,Localidad
Otros,Sudameris,Brown Burguer,20% de reintegro,Jueves a sábados,Desde 2026-04-02 hasta 2027-02-27,"20% de reintegro.  1 ZONA ESTE – CIUDAD DEL ESTE VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. • El fraccionamiento en cuotas se debe solicitar al momento de la compra en caja del comercio. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras vía otras procesadoras (Dinelco, Cabal, etc), sub redes y/o plataformas que no sean Infonet (Pagopar, etc.). • No acumulable/combinable con otras promociones. • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonaestecde-090926.pdf,Tope de compra mensual: GS. 500.000,Zona Este - Ciudad del Este
Otros,Sudameris,Buono Market/Food,30% de reintegro,viernes y sábado,Desde 2026-04-03 hasta 2027-02-28,"30% de reintegro.  1 ZONA ESTE – CIUDAD DEL ESTE VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. • El fraccionamiento en cuotas se debe solicitar al momento de la compra en caja del comercio. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras vía otras procesadoras (Dinelco, Cabal, etc), sub redes y/o plataformas que no sean Infonet (Pagopar, etc.). • No acumulable/combinable con otras promociones. • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonaestecde-090926.pdf,Tope de compra mensual: Gs. 800.000,Zona Este - Ciudad del Este
Otros,Sudameris,Busca Pies,20% de descuento en caja + 10% de reintegro Hasta 10 cuotas sin interés,Viernes y sábado,Desde 2026-09-04 hasta 2027-02-28,"20% de descuento en caja + 10% de reintegro Hasta 10 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Gs. 1.000.000,Zona Sur - Encarnación
Otros,Sudameris,CHEF’S KITCHEN,20%; 25%,No especificado,• Viernes y sábado. • Desde el 28 de agosto hasta el 30 de setiembre 2026.,• 20% de reintegro directo pagando con tarjetas de crédito. • 25% de reintegro directo pagando con tarjetas de crédito MasterCard Black y Visa Infinite.,https://www.sudameris.com.py/beneficios/destacado/738/detalle,,
Otros,Sudameris,Calzados Mellba,20% de reintegro Hasta 10 cuotas sin interés,viernes y sábado,Desde 2026-03-06 hasta 2027-02-28,"20% de reintegro Hasta 10 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Gs. 600.000,Zona Sur - Encarnación
Otros,Sudameris,Calzados Parana,20% de reintegro Hasta 10 cuotas sin interés,viernes y sábado,Desde 2026-03-06 hasta 2027-02-28,"20% de reintegro Hasta 10 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Gs. 1.000.000,Zona Sur - Encarnación
Otros,Sudameris,Casa Angela,20% de reintegro Hasta 12 cuotas sin interés,Viernes y sábados,Desde 2026-03-06 hasta 2027-02-27,"20% de reintegro Hasta 12 cuotas sin interés.  1 ZONA ESTE – CIUDAD DEL ESTE VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. • El fraccionamiento en cuotas se debe solicitar al momento de la compra en caja del comercio. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras vía otras procesadoras (Dinelco, Cabal, etc), sub redes y/o plataformas que no sean Infonet (Pagopar, etc.). • No acumulable/combinable con otras promociones. • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonaestecde-090926.pdf,Tope de compra mensual: GS. 1.000.000,Zona Este - Ciudad del Este
Otros,Sudameris,Casa Bakunovich,20% de reintegro + 5% elite Hasta 10 cuotas sin interés,viernes y sábado,Desde 2026-03-06 hasta 2027-02-28,"20% de reintegro + 5% elite Hasta 10 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Gs. 2.000.000,Zona Sur - Encarnación
Otros,Sudameris,Casa Heri,20% de reintegro Hasta 10 cuotas sin interés,viernes y sábado,Desde 2026-03-06 hasta 2027-02-28,"20% de reintegro Hasta 10 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Gs. 800.000,Zona Sur - Encarnación
Otros,Sudameris,Cindy & Co,20% de reintegro Hasta 10 cuotas sin interés,viernes y sábado,Desde 2026-03-06 hasta 2027-02-28,"20% de reintegro Hasta 10 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Gs.1.000.000,Zona Sur - Encarnación
Otros,Sudameris,Consur Bike,20% de reintegro Hasta 12 cuotas sin interés,Viernes y sábado,Desde 2026-04-03 hasta 2026-12-31,"20% de reintegro Hasta 12 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: Gs. 8.000.000,Zona Sur - Encarnación
Otros,Sudameris,Corazón De Melon,20% de reintegro + 5% elite Hasta 10 cuotas sin interés,viernes y sábados,Desde 2025-11-14 hasta 2027-02-28,"20% de reintegro + 5% elite Hasta 10 cuotas sin interés.  1 ZONA ESTE – CIUDAD DEL ESTE VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. • El fraccionamiento en cuotas se debe solicitar al momento de la compra en caja del comercio. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras vía otras procesadoras (Dinelco, Cabal, etc), sub redes y/o plataformas que no sean Infonet (Pagopar, etc.). • No acumulable/combinable con otras promociones. • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonaestecde-090926.pdf,Tope de compra mensual: GS. 800.000,Zona Este - Ciudad del Este
Otros,Sudameris,Corazón de Melon,20% de reintegro + 5% elite Hasta 12 cuotas sin interés,Viernes y sábado,Desde 2025-11-14 hasta 2027-02-28,"20% de reintegro + 5% elite Hasta 12 cuotas sin interés.  1 ZONA SUR – ENCARNACIÓN VIGENCIA • Verificar según aplicación de promoción (ver cuadro más abajo). BENEFICIOS • Descuento en caja del comercio según aplicación de promoción (ver cuadro más abajo). • Reintegro en extracto según aplicación de promoción (ver cuadro más abajo). • Cuotas sin interés según aplicación de promoción (ver cuadro más abajo). CONDICIONES • Tope de compra por cuenta de tarjeta de crédito: según aplicación de promoción (ver cuadro más abajo). • Aplica a compras realizadas únicamente con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A, compras vía e-commerce y QR según aplicación de promoción (ver cuadro más abajo).. • Si un comercio tiene sucursales en diferentes ciudades, el tope de compra mensual se aplicará por comercio o marca, no por zona. El tope de compra mensual será único para la marca en su conjunto. • Aplica a compras realizadas con tarjetas de crédito MasterCard y Visa de Sudameris Bank S.A.E.C.A. • Promoción válida única y exclusivamente para compras realizadas vía POS de Bancard (Red Infonet). • Las bases y condiciones están sujetas a modificaciones de acuerdo con las posibles variaciones del acuerdo con el comercio, por lo que el Banco se reserva el derecho de aplicar dichas modificaciones, sin previo aviso, y el cliente deberá verificar la versión actualizada de las Bases y condiciones antes de realizar la transacción. • Los reclamos se tomarán como válidos sobre el último documento actualizado y debe ser el documento vigente durante el día de la compra reclamada. EXCLUSIONES • Se excluyen del beneficio las tarjetas prepagas, de débito, Bancard Check, Gourmet Card, Móvil Card, Productivas y Empresariales. • No aplica a compras a través de otras procesadoras (Dinelco, Cabal, etc). • Se excluyen del beneficio las compras realizadas con plataformas digitales ajenas a cada marca (Pedidos Ya, Monchis, Gu y/o Pedile a Charly). • Esta promoción quedará inactiva automáticamente durante la vigencia de promociones puntuales, como por ejemplo “Día de los Enamorados”, “Día de la Madre”, “Día del Padre”, “Fin de año”, entre otras. Esta cláusula rige únicamente para los comercios que participen de una promoción habitual y a su vez de una puntual. https://www.sudameris.com.py/beneficios",https://www.sudameris.com.py/storage/app/media/ByC/bc-zonasurencarnacion-4926.pdf,Tope de compra mensual: GS. 800.000,Zona Sur - Encarnación
